"","taxon","lfc_treatmentCommA","lfc_treatmentCommC","se_treatmentCommA","se_treatmentCommC","diff_treatmentCommA","diff_treatmentCommC"
"1","ASV18",2.28088287350248,0,0.857646612998979,0.39151025542865,TRUE,FALSE
"2","ASV2",0.856477211843491,0.755248216070103,0.326217099753809,0.336658689280944,TRUE,FALSE
"3","ASV28",-0.678964554031102,-0.403659362128972,0.235507386396689,0.24420190259404,TRUE,FALSE
"4","ASV65",-1.37455546211944,0,0.487271292594761,0.39151025542865,TRUE,FALSE
"5","ASV4",0.828787763717587,0.718860000107005,0.229097974264109,0.239584109641396,TRUE,TRUE
"6","ASV9",0.0705561668347544,-0.761709095100061,0.238755794480577,0.253160654372385,FALSE,TRUE
"7","ASV19",-2.97154656692764,-0.555390340296065,0.79710055088922,0.23307773615016,TRUE,FALSE
"8","ASV1",-0.887579254153327,-0.195902756846468,0.30478657045917,0.306765974794287,TRUE,FALSE
"12","ASV11",0.471085299330385,3.7877541953828,0.459363948763943,0.432523997296531,FALSE,TRUE
"14","ASV38",2.33324975752523,2.64994412812897,0.467259609021363,0.474744403277329,TRUE,TRUE
"17","ASV34",0,-1.11272266507261,0.383204872875932,0.394208289143453,FALSE,TRUE
"18","ASV12",-2.39537911438482,-0.113989418201044,0.301028569093399,0.2938792374508,TRUE,FALSE
"19","ASV8",-1.13160073741134,-0.780654424986842,0.273165021187549,0.281548046053043,TRUE,TRUE
"21","ASV15",-0.181614937201104,2.5123479321881,0.317934152445652,0.276341941660453,FALSE,TRUE
"23","ASV84",-0.874587196933877,-0.0362882758492912,0.278315416285968,0.250770114862028,TRUE,FALSE
"24","ASV57",-0.944464509814183,-0.049431688061194,0.286204902525532,0.24735335047547,TRUE,FALSE
"25","ASV106",-0.866416921613337,-0.0782429797943442,0.26386657644706,0.229588422021527,TRUE,FALSE
"26","ASV67",1.26668177616485,2.33520806546922,0.32291121071058,0.316623384888518,TRUE,TRUE
"27","ASV21",0.20373375827345,-0.897383919598706,0.285047182522481,0.296555650255283,FALSE,TRUE
"36","ASV59",-0.735631769902188,-1.0637647099145,0.221441029235561,0.232453348646042,TRUE,TRUE
"40","ASV5",1.01782947498872,-0.590046847717738,0.258553639773043,0.267866612643899,TRUE,FALSE
"41","ASV6",-1.09242912864022,-0.782265759682502,0.236557044162032,0.238149654896278,TRUE,TRUE
"42","ASV31",-1.96732802322794,-1.31757850228575,0.321118555394784,0.27845587233131,TRUE,TRUE
"46","ASV30",0.0206379917151572,-1.19200854209482,0.262477510184715,0.271519893813402,FALSE,TRUE
"47","ASV88",-1.2316125214635,-1.15846657668434,0.37293823768281,0.310682929543159,TRUE,TRUE
"48","ASV10",2.48587669012194,3.87683717921174,0.777989847980749,0.702236718922384,TRUE,TRUE
"49","ASV121",-1.58928539166316,-0.12790191555843,0.303534834308471,0.232515589174205,TRUE,FALSE
"51","ASV69",-0.739685623851816,-1.54886965397269,0.200331378273503,0.214029566188608,TRUE,TRUE
"55","ASV90",-1.05983454302142,-0.368105812346739,0.246795747930974,0.258110638754381,TRUE,FALSE
"56","ASV123",-0.895807044329705,-0.130485693279981,0.361405430516494,0.277780538339774,TRUE,FALSE
"57","ASV85",-2.563126735745,-0.697296040883003,0.386234875581267,0.284409922604051,TRUE,FALSE
"60","ASV32",-2.69225733634605,0.324323465188997,0.328978220011851,0.233467451914435,TRUE,FALSE
"61","ASV41",-1.7207562996691,0.776197306228697,0.726085825830396,0.3024853098992,TRUE,TRUE
"65","ASV62",-2.11790119229639,-0.384078511139565,0.427989425500149,0.262511523437854,TRUE,FALSE
"66","ASV35",-1.34137457091928,0.420109383818905,0.306825674723205,0.276971653716096,TRUE,FALSE
"67","ASV58",-1.69982892604163,0.838614702091592,0.420035530658192,0.271638560728235,TRUE,TRUE
"72","ASV46",-1.08779477428832,0.00138532039744801,0.353575183989491,0.341440471886636,TRUE,FALSE
"73","ASV39",-0.618563411520955,0.254220888971442,0.242529397119365,0.321607596631934,TRUE,FALSE
